Hospital,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
I,10/20/2021,186,59,26,12,4,,3,1,,,
I,10/21/2021,156,48,20,6,2,,1,2,,,
I,10/22/2021,151,49,25,4,3,,,,,,
I,10/23/2021,117,43,16,2,1,,1,,,,
I,10/24/2021,125.5,39,15,3,,1,1,,,,
I,10/25/2021,202,38,20,8,2,2,,1,,,
I,10/26/2021,224,63,28,15,7,2,1,1,,,
I,10/27/2021,183,59,25,6,9,1,3,1,,,
I,10/28/2021,276,47,16,14,9,1,2,,,,
I,10/29/2021,164,56,22,11,4,2,2,,,,
I,10/30/2021,143.5,41,17,4,1,1,,1,1,,
I,10/31/2021,155,58,29,,2,3,2,2,1,,
I,11/1/2021,234.5,52,15,12,5,3,2,3,,,
I,11/2/2021,210,49,22,10,4,3,3,,,,
I,11/3/2021,193,59,31,11,5,,,,,,
I,11/4/2021,210,59,19,13,6,4,3,2,,,
I,11/5/2021,157,65,31,9,1,2,,2,,,
I,11/6/2021,139.5,50,23,5,3,,,,,,
I,11/7/2021,211.5,52,17,9,4,2,1,8,,,
I,11/8/2021,282,61,16,16,5,5,2,13,,,
I,11/9/2021,234,50,19,13,4,3,1,4,,,
I,11/10/2021,166,52,21,8,2,3,,,,,
I,11/11/2021,139,50,25,7,,,1,,,,
I,11/12/2021,143,61,35,3,3,,,,,,
I,11/13/2021,177.5,37,18,8,1,,,,,,
I,11/14/2021,168.5,53,27,8,,1,,1,,,
I,11/15/2021,243,60,23,16,7,3,1,4,,,
I,11/16/2021,166,62,20,11,6,,2,3,,,
I,11/17/2021,147,47,14,7,3,1,1,5,,,
I,11/18/2021,307,44,12,11,4,2,3,6,,,
I,11/19/2021,167,49,14,4,5,3,,6,1,,
I,11/20/2021,201.5,33,13,6,1,3,1,,,,
I,11/21/2021,138,42,23,4,,,1,1,,,
I,11/22/2021,304,54,14,10,7,6,3,5,,,
I,11/23/2021,219,62,24,11,10,3,1,3,,,
I,11/24/2021,216,54,24,13,7,,4,,,,
I,11/25/2021,178,32,13,5,2,1,,2,,,
I,11/26/2021,134.5,49,25,6,2,,1,,,,
I,11/27/2021,139,41,17,4,1,1,,2,,,
I,11/28/2021,169,47,23,3,2,3,1,4,1,,
I,11/29/2021,190,54,20,11,3,4,1,2,,,
I,11/30/2021,232.5,62,24,8,8,3,5,5,,,
I,12/1/2021,177,40,19,5,2,2,,1,1,,
I,12/2/2021,178,60,27,11,1,1,,1,,,
I,12/3/2021,169,52,19,9,2,3,,,,,
I,12/4/2021,128,46,17,5,1,2,,1,,,
I,12/5/2021,127,32,13,2,2,,1,,,,
I,12/6/2021,168,54,23,14,5,,,,,,
I,12/7/2021,155,48,22,3,2,5,1,,,,
I,12/8/2021,157,58,23,11,1,,2,1,,,
I,12/9/2021,238,57,19,12,5,,3,8,,,
I,12/10/2021,271,69,19,17,7,3,2,12,1,,
I,12/11/2021,482.5,50,9,6,3,3,2,18,2,,
I,12/12/2021,293,46,8,5,3,3,3,12,,,
I,12/13/2021,231,55,21,7,1,5,1,12,,,
I,12/14/2021,252,37,11,12,3,2,2,,,,
I,12/15/2021,150.5,52,34,3,3,,,,,,
I,12/16/2021,140,55,27,8,1,1,,1,,,
I,12/17/2021,135,46,19,3,2,1,,,,,
I,12/18/2021,106,47,13,4,2,,,,,,
I,12/19/2021,123,44,16,5,3,1,,,,,
I,12/20/2021,184.5,42,17,10,2,1,1,,,,
I,12/21/2021,179,48,19,9,3,,1,,,,
I,12/22/2021,144,42,25,3,,,,,,,
I,12/23/2021,158.5,48,23,9,4,,,,,,
I,12/24/2021,132,46,20,4,4,1,,,,,
I,12/25/2021,99.5,50,15,1,1,1,,,,,
I,12/26/2021,178,40,17,7,1,1,2,1,,,
I,12/27/2021,149,50,19,4,2,4,1,,,,
I,12/28/2021,232.5,54,20,14,6,3,2,1,,,
I,12/29/2021,158,46,19,7,3,,1,,,,
I,12/30/2021,220,58,25,18,7,,1,,,,
I,12/31/2021,102,34,11,3,,,,,,,
I,1/1/2022,96,27,9,1,,,,,,,
I,1/2/2022,104.5,36,10,2,,,,,,,
I,1/3/2022,173,63,30,7,6,3,1,2,,,
I,1/4/2022,183,58,25,13,,6,1,,,,
I,1/5/2022,250,47,18,13,8,2,,1,,,
