Hospital ,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
A,2/19/2022,95,10,2,,1,,,,,,
A,2/20/2022,91,20,4,1,,,,,,,
A,2/21/2022,127,20,6,3,1,,,,,,
A,2/22/2022,100,15,3,,,1,,,,,
A,2/23/2022,88.5,17,4,,,,,,,,
A,2/24/2022,88,8,1,,,,,,,,
A,2/25/2022,178,24,8,3,1,,,,1,,
A,2/26/2022,129,7,4,1,,,,,,,
A,2/27/2022,144,13,7,,,,,,,,
A,2/28/2022,127,22,10,2,,,,,,,
A,3/1/2022,94,21,2,2,,,,,,,
A,3/2/2022,156,16,7,3,,,,,,,
A,3/3/2022,118.5,23,10,,,,1,,,,
A,3/4/2022,119,20,5,2,1,,1,,,,
A,3/5/2022,132.5,17,4,1,2,1,,,,,
A,3/6/2022,115,22,6,2,1,,,,,,
A,3/7/2022,112.5,17,5,,,1,,1,,,
A,3/8/2022,118,33,11,1,1,,,,,,
A,3/9/2022,130,16,6,1,,,,,,,
A,3/10/2022,138.5,16,3,3,1,,,,,,
A,3/11/2022,114,13,2,2,,,,,,,
A,3/12/2022,116,20,8,,1,,,,,,
A,3/13/2022,80,8,2,1,,,,,,,
A,3/14/2022,154,17,3,2,,1,,1,,,
A,3/15/2022,209,27,11,6,2,,,1,,,
A,3/16/2022,234,21,8,4,,1,1,3,,,
A,3/17/2022,185.5,15,3,3,2,,,,,,
A,3/18/2022,143.5,20,7,1,1,1,1,,,,
A,3/19/2022,153,11,7,1,,,,,,,
A,3/20/2022,122,17,6,2,,,,,,,
A,3/21/2022,117,18,3,1,1,,,1,,,
A,3/22/2022,118.5,17,5,1,,1,,,,,
A,3/23/2022,100,21,5,,,,1,1,,,
A,3/24/2022,164.5,20,8,3,,,,,,,
A,3/25/2022,105,23,7,1,1,,,,,,
A,3/26/2022,73.5,9,,,1,1,,,,,
A,3/27/2022,75,19,4,2,,,,,,,
A,3/28/2022,141,19,8,1,,,,1,,,
A,3/29/2022,128,20,6,1,2,1,,,,,
A,3/30/2022,149.5,22,6,3,2,1,,,,,
A,3/31/2022,101,29,6,2,1,,,,,,
A,4/1/2022,101,23,6,1,,1,1,,,,
A,4/2/2022,144,13,3,,,1,,,,,
A,4/3/2022,131,19,7,2,1,,,,,,
A,4/4/2022,117,29,8,1,3,,,,,,
A,4/5/2022,100,24,5,,1,,,,,,
A,4/6/2022,101.5,26,5,1,1,,2,,,,
A,4/7/2022,135,26,7,1,,2,,2,,,
A,4/8/2022,179,18,5,2,,1,,1,,,
A,4/9/2022,115,21,6,1,1,,,1,1,,
A,4/10/2022,217.5,17,3,3,2,2,1,,,,
A,4/11/2022,249.5,23,6,5,3,1,,,1,,
A,4/12/2022,145,14,5,,,1,,,,,
A,4/13/2022,114.5,24,8,1,,,,1,,,
A,4/14/2022,165,29,8,3,1,1,,2,,,
A,4/15/2022,151,15,6,1,,,,,,,
A,4/16/2022,138,9,5,,,,,,,,
A,4/17/2022,89,23,4,2,1,,,,,,
A,4/18/2022,98,18,2,2,,,,,,,
A,4/19/2022,129,22,7,2,2,2,,,,,
A,4/20/2022,160,21,11,2,,1,,,,,
A,4/21/2022,199,22,7,5,,,,,1,,
A,4/22/2022,123,21,8,2,,,,,,,
A,4/23/2022,116.5,18,7,1,,,,,,,
A,4/24/2022,127,19,11,,,1,,,,,
A,4/25/2022,120,24,7,,1,,,1,,,
A,4/26/2022,133.5,19,6,3,1,,,2,,,
A,4/27/2022,73,27,2,,,,,,,,
A,4/28/2022,95,18,4,,,,,,,,
A,4/29/2022,123,20,6,2,,1,,,,,
A,4/30/2022,121,14,5,1,,,,,,,
A,5/1/2022,100.5,21,7,,,,,,,,
A,5/2/2022,121,19,8,1,,,,1,,,
A,5/3/2022,108,24,4,1,,,,,,,
A,5/4/2022,107.5,22,9,,1,,,,,,
A,5/5/2022,157,20,3,5,1,1,,,,,
A,5/6/2022,130,22,7,3,1,,,,,,
A,5/7/2022,129.5,20,8,1,2,1,,,,,
A,5/8/2022,180,23,7,5,,1,2,,,,
A,5/9/2022,127,21,8,1,,,1,,,,
A,5/10/2022,134,28,9,3,1,,,,,,
A,5/11/2022,89,18,4,1,,,,,,,
A,5/12/2022,155,21,4,,2,1,3,1,,,
A,5/13/2022,268,21,4,7,,3,,1,,,
A,5/14/2022,136,14,4,1,1,1,,,,,
A,5/15/2022,91,24,3,2,,,,1,,,
A,5/16/2022,141,22,9,2,,,,,,,
A,5/17/2022,94,17,2,1,1,,,1,,,
A,5/18/2022,116,29,6,1,2,,1,,,,
A,5/19/2022,134,24,7,1,2,,1,,,,
A,5/20/2022,142.5,13,7,1,1,,,,,,
A,5/21/2022,111.5,16,6,,1,,,,,,
A,5/22/2022,78,23,7,,,,,,,,
A,5/23/2022,129.5,25,8,3,,1,,,,,
A,5/24/2022,93.5,17,2,2,,1,,,,,
A,5/25/2022,102,19,3,1,,,,,,,
A,5/26/2022,88,17,2,2,,,,,,,
A,5/27/2022,78,17,4,,,,,,,,
A,5/28/2022,161.5,25,6,5,2,,1,1,,,
A,5/29/2022,107.5,20,5,1,2,,,,,,
A,5/30/2022,81,18,5,,1,,,,,,
A,5/31/2022,107,25,7,1,1,1,,,,,
A,6/1/2022,251,23,4,4,1,,,5,1,,
A,6/2/2022,118,12,2,1,,1,,,,,
A,6/3/2022,90,14,4,1,,,,,,,
A,6/4/2022,147.5,23,9,2,1,,,,,,
A,6/5/2022,82,20,1,,1,,2,,,,
A,6/6/2022,121,23,8,3,,1,,,,,
A,6/7/2022,127,28,12,1,,,1,,,,
A,6/8/2022,96,19,3,1,,2,2,,,,
A,6/9/2022,104,16,5,,,,,,,,
A,6/10/2022,137,29,7,2,,1,1,1,,,
A,6/11/2022,108,20,3,2,,1,,1,,,
A,6/12/2022,386,22,4,4,5,2,2,1,,,
A,6/13/2022,109.5,21,4,1,,,,,,,
A,6/14/2022,176,18,8,,1,1,,,1,,
A,6/15/2022,100,23,5,2,,2,,,,,
A,6/16/2022,133.5,35,9,4,2,,,1,,,
A,6/17/2022,146,21,8,1,,2,,,,,
A,6/18/2022,107,7,3,,,,,,,,
A,6/19/2022,134,15,6,,,,,1,,,
A,6/20/2022,100.5,26,6,1,,,,,,,
A,6/21/2022,118.5,23,3,4,3,,,,,,
A,6/22/2022,144,15,3,1,1,1,,,,,
A,6/23/2022,163,28,9,6,1,1,,,,,
A,6/24/2022,119,26,2,4,,2,1,1,,,
A,6/25/2022,146,14,6,1,,1,,1,,,
A,6/26/2022,82.5,13,2,1,,,,,,,
A,6/27/2022,113,17,5,1,,,,,,,
A,6/28/2022,119,14,3,1,,1,,,,,
A,6/29/2022,86.5,21,5,1,,,,,,,
A,6/30/2022,166,21,6,2,1,,1,1,,,
A,7/1/2022,201,19,3,5,2,,,1,,,
A,7/2/2022,150,16,9,1,,,,,,,
A,7/3/2022,138.5,16,5,1,2,,,1,,,
A,7/4/2022,74,16,2,1,,1,,,,,
A,7/5/2022,148.5,35,13,2,3,1,1,1,,,
A,7/6/2022,102,26,7,,,,1,1,,,
A,7/7/2022,189,21,3,1,,2,1,3,,,
A,7/8/2022,243,18,5,6,2,,,2,,,
A,7/9/2022,196,17,6,,3,1,,2,,,
A,7/10/2022,126,23,6,1,2,,,2,,,
A,7/11/2022,214,18,8,2,1,,,2,1,,
A,7/12/2022,154,21,7,1,2,,,1,,,
A,7/13/2022,227,20,5,5,,,3,,,,
A,7/14/2022,99,10,,,2,,1,,,,
A,7/15/2022,123.5,19,8,1,,,1,,,,
