Hospital,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
F,1/15/2022,355,34,5,5,3,,1,11,1,,
F,1/16/2022,"1,001",31,3,2,1,4,3,15,3,,
F,1/17/2022,556,33,4,4,2,3,2,12,2,,
F,1/18/2022,318,34,11,7,6,,1,7,1,,
F,1/19/2022,181.5,25,8,4,2,1,2,,,,
F,1/20/2022,306.5,42,7,5,3,1,2,12,1,1,
F,1/21/2022,181,25,8,5,2,,1,3,,,
F,1/22/2022,193,30,14,9,,,,1,,,
F,1/23/2022,194,29,13,7,3,,1,,,1,
F,1/24/2022,268,44,13,5,4,,1,13,,,
F,1/25/2022,242,38,17,8,4,2,1,5,,,
F,1/26/2022,131,30,11,4,1,1,2,1,,,
F,1/27/2022,196,40,13,8,4,2,1,2,,,
F,1/28/2022,128,33,14,4,1,,,,,,
F,1/29/2022,118.5,33,11,3,,,,1,,1,
F,1/30/2022,117,34,11,3,2,,,1,,,
F,1/31/2022,182,41,18,5,2,1,1,3,1,,
F,2/1/2022,208,30,13,4,2,,2,3,,,
F,2/2/2022,170,28,15,6,,,,,,,
F,2/3/2022,156,20,7,2,3,,,,,,
F,2/4/2022,137,36,14,2,,,1,2,,,
F,2/5/2022,131,26,13,1,,,1,,,,
F,2/6/2022,146.5,30,11,4,1,,,,,2,
F,2/7/2022,163,31,17,2,,,,2,,,
F,2/8/2022,131.5,39,14,4,1,,1,2,1,,
F,2/9/2022,126,33,15,4,1,,,,,,
F,2/10/2022,192,37,15,8,3,2,,1,,,
F,2/11/2022,142,35,16,6,,,,,,,
F,2/12/2022,123,22,6,2,1,,,,1,,
F,2/13/2022,111,31,12,,,,,,,3,
F,2/14/2022,170,38,20,4,,3,,,1,,
F,2/15/2022,141,40,24,2,,,,1,,,
F,2/16/2022,131,33,14,3,,,,1,,1,
F,2/17/2022,86,27,9,1,,,,1,,,
F,2/18/2022,117,35,12,1,2,,,,,,
F,2/19/2022,74,22,2,1,,,,,,,
F,2/20/2022,120.5,31,12,1,,,,1,1,,
F,2/21/2022,119,37,14,2,1,,,1,,,
F,2/22/2022,140,39,16,3,,,,,,,
F,2/23/2022,136.5,25,12,2,1,,,,,,
F,2/24/2022,125,33,10,6,,,,,1,,
F,2/25/2022,145,42,19,4,1,1,1,1,,,
F,2/26/2022,145,31,21,2,,,,,,,
F,2/27/2022,103,35,9,4,1,,,1,,,
F,2/28/2022,262,62,18,11,5,2,5,13,,,
F,3/1/2022,319,39,8,8,7,3,4,3,,,
F,3/2/2022,165,36,18,5,2,1,,,,1,
F,3/3/2022,105,19,5,2,,,,,,,
F,3/4/2022,136,45,16,7,1,,,,,,
F,3/5/2022,111,23,4,3,1,,,,,,
F,3/6/2022,98.5,26,8,2,,1,,,,,
F,3/7/2022,130,47,24,3,,,,1,,,
F,3/8/2022,115.5,31,11,2,1,,,,,,
F,3/9/2022,127,31,10,2,1,1,,,1,,
F,3/10/2022,117,38,13,2,,,,,1,,
F,3/11/2022,145,31,14,3,,,,1,,,
F,3/12/2022,88,25,5,2,,,,,,,
F,3/13/2022,109.5,24,8,1,,,,,,1,
F,3/14/2022,112.5,45,16,2,1,,,,,,
F,3/15/2022,157,46,19,7,2,,,,,1,
F,3/16/2022,126,39,15,1,1,,,2,,,
F,3/17/2022,136,46,20,2,2,,,2,,,
F,3/18/2022,250,41,11,13,3,3,1,2,,,
F,3/19/2022,110,29,9,1,,2,,,,,
F,3/20/2022,188.5,45,17,9,2,1,,5,,,
F,3/21/2022,242,50,15,9,7,5,2,3,,,
F,3/22/2022,157,41,21,5,1,,,2,1,,
F,3/23/2022,125,41,12,5,1,3,1,1,,,
F,3/24/2022,158.5,49,20,7,4,1,,2,,,
F,3/25/2022,162,23,8,3,3,1,,,,,
