
"DOS (No Time)","Median Decision to Departure","Total Admitted Pts","2-4 Hours","4-6 Hours","6-8 Hours","8-10 Hours","10-12 Hours","12-24 Hours","24-36 Hours","36-48 Hours","> 48 Hours"
"12/20/21","81","7","1","","","","","1","","",""
"12/21/21","60.5","6","","","","","","","","",""
"12/22/21","145.5","4","3","","","","","","","",""
"12/23/21","162","4","3","1","","","","","","",""
"12/24/21","110","5","1","","","","","","","",""
"12/25/21","36","7","1","","","","","","","",""
"12/26/21","21","3","","","","","","","","",""
"12/27/21","560","2","","","","","","1","","",""
"12/28/21","67","7","1","","","","","2","","",""
"12/29/21","101.5","6","2","","","","","1","","",""
"12/30/21","24","3","","","","","","1","","",""
"12/31/21","151","6","3","","","","","1","","",""
"1/1/22","117","3","1","","","","","","","",""
"1/2/22","171","6","3","","1","","","","","",""
"1/3/22","34.5","4","","1","","","","","","",""
"1/4/22","137","4","2","","","","","","","",""
"1/5/22","147","8","2","1","1","","","","","",""
"1/6/22","52","4","1","","","","","","","",""
"1/7/22","74","2","","","","","","","","",""
"1/8/22","62","5","1","1","","","","","","",""
"1/9/22","206","3","2","","","1","","","","",""
"1/10/22","144","7","4","1","","","","","","",""
"1/11/22","132","6","3","","","","","","","",""
"1/12/22","40","7","","1","","","","","","",""
"1/13/22","82","5","1","","","","","","","",""
"1/14/22","40","2","","","","","","","","",""
"1/15/22","34","1","","","","","","","","",""
"1/16/22","83.5","2","","","","","","","","",""
"1/17/22","59","3","","","","","","","","",""
"1/18/22","101.5","2","1","","","","","","","",""
"1/19/22","80","4","1","","","","","","","",""
"1/20/22","121","6","3","","","","","","","",""
"1/21/22","188","2","1","1","","","","","","",""
"1/22/22","62.5","4","","","","","","","","",""
"1/23/22","40.5","5","1","","","","","","","",""
"1/24/22","113","4","1","","1","","","","","",""
"1/25/22","50","3","","","","","","","","",""
"1/26/22","38","3","","","","","","","","",""
"1/27/22","64","4","","","","","","","","",""
"1/28/22","57","3","","","1","","","","","",""
"1/29/22","108.5","5","2","","","","","","","",""
"1/30/22","58","6","","","","","","","","",""
"1/31/22","40","6","1","","","","","","","",""
"2/1/22","86.5","4","","1","","","","","","",""
"2/2/22","56","5","1","","","","","","","",""
"2/3/22","75","4","","1","","","","","","",""
"2/4/22","65.5","2","","","","","","","","",""
"2/5/22","78","6","","","","","","","","",""
"2/6/22","70.5","2","","","","","","","","",""
"2/7/22","72.5","7","2","","","","","","","",""
"2/8/22","95","4","1","1","","","","","","",""
"2/9/22","108","8","2","1","","","","","","",""
"2/10/22","46","4","1","","","","","","","",""
"2/11/22","22","1","","","","","","","","",""
"2/12/22","70","5","","","","","","","","",""
"2/13/22","82.5","2","","","","","","","","",""
"2/14/22","210","4","","1","","","","","","",""
"2/15/22","95","6","1","","","","","","","",""
"2/16/22","41.5","2","","","","","","","","",""
"2/17/22","47","4","","","","","","","","",""
"2/18/22","56.5","2","","","","","","","","",""
"2/19/22","81.5","2","","","","","","","","",""
"2/20/22","33","3","","","","","","","","",""
"2/21/22","38","3","1","","","","","","","",""
"2/22/22","68","5","","","","","","","","",""
"2/23/22","67","7","1","","","","","","","",""
"2/24/22","121","5","3","","","","","","","",""
"2/25/22","42","1","","","","","","","","",""
"2/26/22","40.5","4","","","","","","","","",""
"2/27/22","53","14","2","","","","","","","",""
"2/28/22","87.5","10","1","","","","","","","",""
"3/1/22","68","5","","","1","","","1","","",""
"3/2/22","116","3","1","","","","","","","",""
"3/3/22","64","6","","","","","","","","",""
"3/4/22","204","5","2","1","","","","","","",""
"3/5/22","109","4","","1","","","","","","",""
"3/6/22","86","8","1","","","","","","","",""
"3/7/22","34","6","1","","","","","","","",""
"3/8/22","40","1","","","","","","","","",""
"3/9/22","38.5","4","","","","","","","","",""
"3/10/22","72.5","8","2","","","","","","","",""
"3/11/22","69","9","3","","","","","","","",""
"3/12/22","87","7","1","","","","","","","",""
"3/13/22","62.5","8","1","","","","","","","",""
"3/14/22","63","4","","1","","","","","","",""
"3/15/22","33.5","7","","","","","","","","",""
"3/16/22","104","10","2","1","","","","","","",""
"3/17/22","62","5","1","","","","","","","",""
"3/18/22","42","7","","","","","","","","",""
"3/19/22","65","2","","","","","","","","",""
"3/20/22","64","2","","","","","","","","",""
"3/21/22","41","4","","","","","","","","",""
"3/22/22","102","7","2","","1","","","","","",""
"3/23/22","114","6","3","","","","","","","",""
"3/24/22","72","3","","","","","","","","",""
"3/25/22","93","7","1","1","","","","","","",""
"3/26/22","62.5","8","1","","","","","","","",""
"3/27/22","68.5","4","","","","","","","","",""
"3/28/22","73","3","1","","","","","","","",""
"3/29/22","120","5","2","1","","","","","","",""
