Hospital,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
J,11/1/2021,166,23,7,2,2,1,,4,,,
J,11/2/2021,239,16,3,3,3,1,,1,,,
J,11/3/2021,153.5,22,5,5,1,,1,2,,,
J,11/4/2021,222,19,4,2,3,,,3,,,
J,11/5/2021,209,28,5,5,1,2,,6,,,
J,11/6/2021,139,25,9,1,,,2,3,,,
J,11/7/2021,694,19,4,1,2,,,8,,1,
J,11/8/2021,526.5,29,,1,1,2,,10,2,1,
J,11/9/2021,901,20,1,1,,,1,9,4,,
J,11/10/2021,564,27,2,,2,3,,11,1,,
J,11/11/2021,977,16,,,1,,,8,4,,
J,11/12/2021,496.5,17,1,4,1,3,,5,1,,
J,11/13/2021,396,26,8,1,1,1,,9,2,,
J,11/14/2021,946,12,1,,,,1,6,1,,
J,11/15/2021,406.5,24,,4,2,1,,9,1,,
J,11/16/2021,423,19,2,2,4,2,1,4,,,
J,11/17/2021,163,23,4,1,1,2,,6,,,
J,11/18/2021,208.5,17,5,6,,,,,,,
J,11/19/2021,132,23,8,2,1,,,3,1,,
J,11/20/2021,140,13,3,3,1,,,,,,
J,11/21/2021,124.5,16,7,1,,,,,,,
J,11/22/2021,209.5,18,6,3,1,1,,3,,,
J,11/23/2021,335,29,2,7,3,,,9,1,,
J,11/24/2021,99,12,2,2,,,,1,,,
J,11/25/2021,263,29,7,2,,,,9,4,,
J,11/26/2021,451,26,2,1,4,2,1,4,2,1,
J,11/27/2021,"1,435",17,3,,,1,,2,6,2,
J,11/28/2021,419,16,4,,1,,,6,1,,
J,11/29/2021,651.5,31,2,1,2,2,4,9,3,1,
J,11/30/2021,972.5,16,2,,1,,2,11,,,
J,12/1/2021,352,23,3,4,2,3,1,4,1,,
J,12/2/2021,562,24,1,1,2,3,,8,3,,
J,12/3/2021,830,14,2,1,,,1,6,,2,
J,12/4/2021,794,18,1,2,,,,5,4,2,
J,12/5/2021,695,23,3,2,,1,2,7,3,1,
J,12/6/2021,526,21,5,2,,2,,7,1,,
J,12/7/2021,925,18,3,,,1,,6,4,2,
J,12/8/2021,992,27,1,4,1,,,7,4,5,
J,12/9/2021,204,19,3,1,1,,,4,3,,
J,12/10/2021,436,24,3,2,4,,2,4,2,2,
J,12/11/2021,"1,335",15,2,,,,,4,5,2,
J,12/12/2021,"1,191",18,3,,,,1,9,2,2,
J,12/13/2021,978,13,,1,1,,,5,2,,
J,12/14/2021,248,25,4,3,1,1,2,3,2,,
J,12/15/2021,999,25,1,1,1,3,,6,4,4,
J,12/16/2021,"1,162",13,,,1,,1,5,5,,
J,12/17/2021,"1,113",18,1,2,,1,1,7,3,2,
J,12/18/2021,242,17,4,3,2,,,3,1,,
J,12/19/2021,152,13,6,1,2,,1,,,,
J,12/20/2021,105.5,18,2,1,,,,4,,,
J,12/21/2021,413,17,2,1,2,1,2,4,1,,
J,12/22/2021,207,26,6,2,,2,,6,1,,
J,12/23/2021,582,20,1,,,3,1,8,,,
J,12/24/2021,95.5,14,3,2,,,,,,,
J,12/25/2021,190,21,5,2,,2,,4,,,
J,12/26/2021,285,15,1,3,2,,,3,,,
J,12/27/2021,564,32,2,3,1,1,1,8,1,5,
J,12/28/2021,972,17,3,,1,,1,6,3,,
J,12/29/2021,208,24,6,,,,,3,6,2,
J,12/30/2021,217,27,6,2,,,,10,2,,
J,12/31/2021,214,12,4,,,1,1,1,,,
J,1/1/2022,140.5,16,5,1,1,,1,2,,,
J,1/2/2022,913,24,3,3,1,,,9,2,1,
J,1/3/2022,827,20,,1,2,1,,7,4,1,
J,1/4/2022,"1,060",19,,,,2,,12,3,,
J,1/5/2022,460.5,14,1,2,2,1,,5,1,,
J,1/6/2022,414,12,2,1,5,,1,1,,,
J,1/7/2022,550,15,4,1,,,,6,1,,
J,1/8/2022,892,13,1,,2,,,3,2,1,
J,1/9/2022,"1,105.50",14,,,1,1,1,,5,1,
J,1/10/2022,643,14,,1,2,1,1,5,,1,
J,1/11/2022,714,25,2,,3,1,1,8,3,1,
J,1/12/2022,263,19,3,4,1,1,1,3,,,
J,1/13/2022,114,12,1,,1,1,1,,,,
J,1/14/2022,159.5,23,10,2,,2,,1,,,
J,1/15/2022,117,16,5,1,1,,,1,,,
J,1/16/2022,93,13,3,,2,,,,,,
J,1/17/2022,"1,077",26,2,1,,2,,12,4,1,
J,1/18/2022,"1,211",14,1,,1,,,2,5,,
J,1/19/2022,379,14,3,2,2,,3,1,1,,
J,1/20/2022,322,20,4,5,3,,,4,,,
J,1/21/2022,188,23,7,2,1,1,,2,,,
J,1/22/2022,94,17,4,1,1,1,,,,,
J,1/23/2022,221,24,5,2,1,,,6,1,,
J,1/24/2022,"1,177",19,2,1,,,1,6,6,,
J,1/25/2022,400,20,6,,2,1,1,5,2,,
J,1/26/2022,179,10,4,,1,,1,1,,1,
J,1/27/2022,91.5,16,4,,,,1,,,,
J,1/28/2022,107,22,6,2,,,,1,,,
J,1/29/2022,92,20,4,,,,,,,,
J,1/30/2022,88,17,3,,1,,,,,,
J,1/31/2022,96,20,4,,,,1,2,,,
J,2/1/2022,193.5,16,4,3,1,1,,1,1,,
J,2/2/2022,136.5,18,7,3,,,1,1,,,
J,2/3/2022,109,14,4,2,,,,1,,,
J,2/4/2022,141,15,6,1,,,,1,,,
J,2/5/2022,97.5,12,2,1,1,,,,,,
J,2/6/2022,89,16,3,1,1,,,,1,,
J,2/7/2022,174,32,13,6,1,,,3,,1,
J,2/8/2022,188,14,5,1,2,1,,2,,,
J,2/9/2022,161.5,17,4,2,,1,1,,1,,
J,2/10/2022,82,29,7,1,1,,,,1,,
J,2/11/2022,114,18,4,2,,,,2,,,
J,2/12/2022,67,20,1,,,,,,,,
J,2/13/2022,96,16,1,1,1,,,,,,
J,2/14/2022,49.5,15,3,,,,,,,,
J,2/15/2022,63,25,3,1,,1,,,,1,
J,2/16/2022,142,25,12,2,1,,,,1,,
J,2/17/2022,345.5,24,2,3,2,,,9,,,
J,2/18/2022,139,18,5,3,2,,,,,,
J,2/19/2022,94,18,7,,,,,,,,
J,2/20/2022,103,19,6,1,,,,,,,
J,2/21/2022,120,18,8,,,,,,,1,
J,2/22/2022,90,13,3,,,,1,1,,,
J,2/23/2022,106,18,3,2,,,,1,,,
J,2/24/2022,154,24,4,4,2,2,1,,,,
J,2/25/2022,185,20,4,3,3,2,,,,,
J,2/26/2022,68.5,20,5,,,,,,,,
J,2/27/2022,73,23,1,1,,,,1,1,,
J,2/28/2022,273,21,3,3,5,,2,3,,,
J,3/1/2022,318,19,2,8,,1,1,4,,,
J,3/2/2022,94.5,20,4,1,,,2,1,,,
J,3/3/2022,276,18,4,2,4,,,4,,,
J,3/4/2022,138,20,10,2,,,,,,,
J,3/5/2022,80.5,22,6,,1,1,,,,,
J,3/6/2022,102,19,3,2,,,,,,1,
J,3/7/2022,87,26,5,2,,,,1,,1,
J,3/8/2022,98,20,3,2,,,,1,,,
J,3/9/2022,102,14,4,2,,,,,,,
J,3/10/2022,73.5,21,3,,,1,,,1,,
J,3/11/2022,94.5,22,6,2,,,,,,,
J,3/12/2022,82,21,5,2,,,,,,,
J,3/13/2022,67.5,16,2,,,,,,,,
J,3/14/2022,102,29,4,5,,1,,4,,,
J,3/15/2022,127,13,2,1,,,1,2,1,,
J,3/16/2022,94,24,7,2,,,,,,,
J,3/17/2022,172,25,6,3,,2,1,2,,,
J,3/18/2022,67,23,2,2,,,,,,,
J,3/19/2022,93,19,4,1,1,,,2,,,
J,3/20/2022,81,19,3,,,,,2,,,
J,3/21/2022,101,28,6,2,3,1,,1,,,
J,3/22/2022,213,19,6,4,,1,1,2,,,
J,3/23/2022,122,19,7,2,1,,,,,,
J,3/24/2022,106,25,5,4,1,,,,,,
J,3/25/2022,88,15,2,,,,,,,,
J,3/26/2022,75.5,18,3,1,,,,,,,
J,3/27/2022,70,15,2,,1,,,1,,,
J,3/28/2022,98,29,4,2,1,1,,2,,,
J,3/29/2022,77,26,8,1,1,,,,,,
J,3/30/2022,73,23,4,1,,,,,,,
J,3/31/2022,84.5,15,3,1,,,,,,,
J,4/1/2022,97,25,5,2,,,,1,,,
